Median,Mean,Standard Deviation
0.9999944432732327,0.9999931919983963,3.5622395239174035e-06
0.99999357098489,0.9999827420170899,2.2842976858687472e-05
0.9999945429788273,0.9999930321710864,3.173563079997988e-06
0.9999944279749164,0.9999943817783175,1.8326604000088284e-06
0.9999917620611194,0.9999915071919567,2.8392629116986547e-06
0.999993391152923,0.9999938020845681,1.5598927410611665e-06
0.999993706165578,0.9999902256409381,6.050005722060028e-06
0.9999926017108901,0.9999853352918888,2.067805035500066e-05
0.9999932439166259,0.9999800987564397,2.619203133654281e-05
0.999989325915973,0.999990672882728,4.176353838833146e-06
0.9999847040539221,0.999984746728801,9.489996591066036e-06
0.9999923554573826,0.9999910820141006,5.056430894096448e-06
0.9999916323255759,0.9999856293376725,1.2822633463549638e-05
0.9999897936393058,0.9999838976798184,1.767439171791974e-05
0.9999941184690582,0.9999923382420487,5.158950846667129e-06
0.9999923499008738,0.9999911584221379,5.546737475743388e-06
0.9999921157452506,0.9999849280455834,1.4794211959181117e-05
